dim,FI,IDR,SS,TI,NS
20,-46.73361437,-46.14942383,-46.15404115,-46.15389655,-46.5560301416887
20,-44.74082446,-46.1483375,-46.15341007,-46.15334052,-47.5736708966379
20,-45.52139499,-46.15341742,-46.15530103,-46.15530845,-45.6179194687246
20,-44.97584258,-46.1520253,-46.15180441,-46.15171816,-45.9809612496686
20,-47.07177745,-46.14859388,-46.13806533,-46.13803132,-46.5372136532242
20,-45.76673982,-46.14903042,-46.17716653,-46.17709686,-46.3430669029727
20,-44.67036825,-46.14962282,-46.14471392,-46.14460759,-45.6644801767457
20,-46.62064414,-46.14937624,-46.1657927,-46.16573516,-46.1305382633021
20,-43.90891866,-46.15210816,-46.13181484,-46.13175845,-45.6680439423378
20,-47.44585211,-46.15070396,-46.16048814,-46.16033412,-45.5000124114377
20,-44.90543103,-46.14913294,-46.1465335,-46.14638733,-46.8455493312465
20,-46.2266239,-46.15193666,-46.12182836,-46.12161082,-45.8544567004867
20,-46.87043646,-46.15503218,-46.16423752,-46.16407414,-46.133351974282
20,-46.66374146,-46.15253184,-46.16806534,-46.1678966,-46.3036174281606
20,-46.67941714,-46.15626178,-46.14979976,-46.14960639,-46.9704488465742
20,-46.53937478,-46.14934555,-46.12533156,-46.12512012,-45.1293875169358
20,-46.71077976,-46.15514271,-46.13523236,-46.13507162,-45.9471314336953
20,-46.56144155,-46.15132004,-46.14231348,-46.14219929,-45.5908066406699
20,-46.369306,-46.14830684,-46.12526161,-46.12515747,-47.0084325936067
20,-45.53469197,-46.15094558,-46.14509276,-46.14505667,-46.622322880141
20,-46.29722249,-46.14800034,-46.13595515,-46.13579832,-46.7534532451606
20,-45.57390378,-46.1545781,-46.14448565,-46.14426011,-46.9586483273952
20,-46.43695264,-46.15062171,-46.16353377,-46.1634443,-45.9746557203567
20,-47.09951881,-46.15467313,-46.1672534,-46.1671318,-46.4576393443555
20,-46.67121578,-46.14897535,-46.14907413,-46.14893705,-44.9263058729974
20,-45.92334311,-46.1505113,-46.14300244,-46.14291289,-46.6366469025825
20,-46.1338347,-46.15301005,-46.15764731,-46.15749475,-46.2680342199014
20,-44.93084463,-46.14834261,-46.14388768,-46.14379857,-45.1939989424096
20,-46.96387993,-46.1506725,-46.13429144,-46.13413468,-46.0156003865059
20,-46.19269554,-46.15388137,-46.16625952,-46.16609553,-46.0398639436682
20,-45.21486,-46.14767456,-46.13141898,-46.13133782,-45.8615696057597
20,-45.87386872,-46.15162184,-46.15018447,-46.15007299,-45.1864480189074
20,-45.28565738,-46.15048612,-46.14694805,-46.14688655,-45.6748457476794
20,-45.00620086,-46.14719017,-46.17260184,-46.17241563,-46.1633552485274
20,-45.54379531,-46.15125281,-46.15375477,-46.15354584,-46.2186600813335
20,-44.76751353,-46.15099445,-46.1292838,-46.12913038,-45.9588230658844
20,-46.35279707,-46.14748903,-46.14685757,-46.14686833,-44.9213215027398
20,-46.27705806,-46.14903159,-46.13396889,-46.13376614,-46.758144778228
20,-46.71160472,-46.15298802,-46.17466427,-46.1746051,-45.3989362075699
20,-47.10263325,-46.15093141,-46.16120373,-46.16114928,-46.080046413373
20,-46.86300908,-46.14885188,-46.15286772,-46.15274327,-46.2426807617305
20,-46.8522975,-46.1539322,-46.169318,-46.16922184,-46.143879504781
20,-45.63611335,-46.15165227,-46.13317105,-46.13294674,-45.1242910792308
20,-47.53035399,-46.14850705,-46.15398313,-46.15386073,-45.6050668251512
20,-42.87501005,-46.14514818,-46.13578446,-46.13563458,-45.4942985010095
20,-45.41399279,-46.15133148,-46.1584933,-46.15832124,-46.3950048299367
20,-45.70943878,-46.15363071,-46.15393979,-46.15388949,-46.4210189616653
20,-46.65244702,-46.15361072,-46.16597213,-46.16583036,-45.2766456742448
20,-47.15643271,-46.15046833,-46.17561894,-46.17567686,-46.6710516032456
20,-47.48623051,-46.15274086,-46.16959922,-46.16960296,-46.7292812579754
20,-46.35878708,-46.15160589,-46.15139698,-46.15132646,-47.0315826574051
20,-47.01545123,-46.14950877,-46.14493254,-46.14482184,-46.8153047472333
20,-47.66373277,-46.15004963,-46.1556696,-46.15552646,-46.8281086262805
20,-45.6371239,-46.14867007,-46.12365561,-46.12349272,-46.823216862683
20,-45.01205723,-46.15422783,-46.16572051,-46.16555278,-46.0933090193238
20,-46.68466171,-46.14969328,-46.14657269,-46.14646725,-46.942356555331
20,-45.9376987,-46.15494686,-46.17457657,-46.1744446,-45.0976343048302
20,-46.88715154,-46.15110809,-46.12620678,-46.1261293,-46.7452442774714
20,-43.24411342,-46.15448245,-46.15722223,-46.15713012,-46.3313437702069
20,-46.56709899,-46.15573941,-46.1495082,-46.1493466,-45.8985356192558
100,-232.3448439,-230.7600973,-230.6880444,-230.6876554,-233.291604141546
100,-227.8953793,-230.760112,-230.7747119,-230.7741878,-231.841030162743
100,-229.645399,-230.7534339,-230.7563879,-230.7560788,-226.411946442773
100,-232.4769248,-230.7582693,-230.7038459,-230.7030726,-232.112674308091
100,-230.7303402,-230.751451,-230.7429863,-230.7423733,-230.11681943871
100,-234.0163143,-230.7588295,-230.6940186,-230.6933298,-227.439365630921
100,-234.5417628,-230.7566006,-230.8203228,-230.8195799,-225.960876702262
100,-230.094573,-230.7588359,-230.8395331,-230.8387841,-227.389792825525
100,-229.0257251,-230.7625357,-230.7876189,-230.7871673,-227.787765150603
100,-229.1437237,-230.7558344,-230.7535784,-230.7531412,-234.970859419745
100,-231.6477155,-230.7544921,-230.725227,-230.724548,-229.918104256941
100,-231.4521478,-230.752199,-230.7400812,-230.7396192,-228.260931888557
100,-233.0268591,-230.7569115,-230.7499513,-230.7490834,-231.069234600671
100,-229.889635,-230.7508913,-230.7217436,-230.7210997,-234.685427414814
100,-230.5744671,-230.759796,-230.7263958,-230.7258339,-234.385213586254
100,-235.7341645,-230.7567094,-230.7719431,-230.7713597,-235.663132294351
100,-229.4423985,-230.7535973,-230.7046315,-230.7039184,-232.079644803608
100,-228.476432,-230.7523163,-230.7438179,-230.7430049,-229.343251374146
100,-229.6250833,-230.7569958,-230.8071549,-230.8064083,-230.913999669393
100,-231.7547426,-230.7586333,-230.8217749,-230.8212329,-232.536338186411
100,-230.4292575,-230.7546923,-230.6972115,-230.6965826,-228.113485279826
100,-232.1816675,-230.7545753,-230.7703337,-230.7697856,-229.008593092616
100,-232.424996,-230.7610575,-230.7393315,-230.7386512,-232.722537324571
100,-232.9997756,-230.7544436,-230.7588649,-230.7583474,-230.064939501311
100,-232.2672425,-230.7549467,-230.794477,-230.7941278,-230.801319153613
100,-232.000331,-230.7591301,-230.8097948,-230.8091015,-235.205111252437
100,-230.9687709,-230.7545308,-230.7793534,-230.7787746,-234.501751858793
100,-231.1454845,-230.7586263,-230.7319683,-230.7312502,-230.814443719541
100,-231.1552178,-230.7574873,-230.7443999,-230.7441937,-229.495058677486
100,-229.4712358,-230.7557505,-230.6985952,-230.6979258,-230.742050855748
100,-230.994613,-230.7557316,-230.790507,-230.7897758,-229.661788114379
100,-229.9520627,-230.7562075,-230.7359626,-230.7351915,-230.485413519437
100,-230.2656211,-230.7563169,-230.8389466,-230.8382408,-231.559886893126
100,-232.1024974,-230.7567647,-230.8058969,-230.8052628,-224.922139076243
100,-234.8981057,-230.7549595,-230.7506198,-230.7499956,-228.128383759387
100,-228.8566412,-230.7580145,-230.7015259,-230.7009994,-226.404312350532
100,-231.0832895,-230.7574034,-230.7342312,-230.7334506,-229.821106237108
100,-230.3958354,-230.7589801,-230.8610621,-230.8604095,-234.919361914726
100,-229.2959256,-230.7528633,-230.6984226,-230.6976396,-227.825807396055
100,-228.0447393,-230.756815,-230.7181043,-230.7173302,-229.750769791257
100,-227.7336691,-230.7590089,-230.7973791,-230.7968867,-225.213217575817
100,-231.8624605,-230.7598389,-230.7345648,-230.7338076,-224.0009724056
100,-230.7100941,-230.755384,-230.7684856,-230.7676601,-234.533549162627
100,-229.6524268,-230.7551291,-230.7662105,-230.7655997,-231.135810526885
100,-233.3566873,-230.7529838,-230.7766683,-230.7761074,-235.065730663406
100,-228.8316647,-230.7554978,-230.7417477,-230.741128,-229.142698274858
100,-232.6944963,-230.7569776,-230.7205015,-230.7197006,-231.222312575747
100,-234.0612819,-230.7587318,-230.7580416,-230.7576728,-225.079168248477
100,-230.1980697,-230.7600347,-230.809436,-230.8090342,-225.448365120414
100,-230.8211119,-230.7561899,-230.7837991,-230.7831198,-228.500152919962
100,-230.3464154,-230.7555248,-230.7333948,-230.7327601,-232.609228106907
100,-231.6702191,-230.7583995,-230.7278068,-230.7271827,-228.075545673307
100,-232.2338778,-230.7607576,-230.6979188,-230.6969359,-234.620792350428
100,-233.5803785,-230.7579138,-230.7388066,-230.7381536,-231.454234913181
100,-230.7916532,-230.7553389,-230.7469364,-230.7462894,-231.193149955871
100,-231.1244686,-230.7569726,-230.7841277,-230.783546,-227.692142722838
100,-231.9099965,-230.7625609,-230.7645309,-230.7640153,-227.207720735125
100,-232.9427242,-230.7561508,-230.7253127,-230.7248314,-233.587809255204
100,-232.0279683,-230.7552568,-230.7888381,-230.7881924,-232.423064091084
100,-231.3955835,-230.7571043,-230.7214098,-230.7209332,-233.670340259975
100,-232.4024331,-230.75609,-230.7381879,-230.7376004,-229.823930404255
100,-227.9996368,-230.7559135,-230.8154238,-230.8149908,-224.240528779916
100,-231.3897857,-230.7586858,-230.7501791,-230.7496744,-229.501090837544
100,-229.6392437,-230.7539908,-230.6839154,-230.6831383,-227.932012344786
100,-233.8936116,-230.7606154,-230.7370654,-230.736334,-230.655010487317
100,-233.7024063,-230.7576435,-230.7747984,-230.7741536,-231.898000730313
100,-231.3616765,-230.7629189,-230.8024867,-230.8018741,-236.87090400141
100,-232.1920022,-230.7596373,-230.7781703,-230.777524,-228.414785208411
100,-232.1881804,-230.7559529,-230.7286675,-230.7283485,-230.617041511732
100,-228.6852439,-230.7511998,-230.7534556,-230.752862,-233.559658475778
100,-230.2894017,-230.7619981,-230.7543571,-230.7537909,-227.672123462156
100,-230.433959,-230.7556595,-230.7375734,-230.7369093,-225.087895921986
100,-230.2289617,-230.7586525,-230.7572807,-230.7566755,-228.827040600896
100,-232.1671708,-230.7581789,-230.7948704,-230.7942683,-232.711537242951
100,-234.3096932,-230.7548165,-230.7589124,-230.7582201,-231.981268383576
100,-232.017426,-230.7506982,-230.8280128,-230.8273075,-231.276349912327
100,-229.9896844,-230.7527874,-230.8044359,-230.8040669,-225.308643608091
100,-229.0943588,-230.7593439,-230.7256841,-230.7248672,-223.731132392609
100,-227.6044717,-230.7563352,-230.7558603,-230.7554629,-229.661980318338
100,-230.9319473,-230.7566379,-230.7534701,-230.7529798,-226.136529671195
100,-233.1029297,-230.7549932,-230.7191168,-230.7184395,-230.645447431401
100,-231.6485388,-230.7616652,-230.814411,-230.813833,-228.315154627702
100,-230.6080891,-230.7529049,-230.7937312,-230.793076,-225.521965604348
100,-228.9009856,-230.7537568,-230.6911933,-230.6903474,-230.850592553017
100,-233.4745275,-230.7587862,-230.7587941,-230.758261,-231.682687081894
100,-227.2101194,-230.7605172,-230.7358704,-230.73543,-226.306291676386
100,-228.9369734,-230.7603895,-230.8109526,-230.8103319,-233.064248856614
100,-232.6543923,-230.7545952,-230.796493,-230.7961431,-231.426489987686
100,-228.3289556,-230.7539284,-230.7388276,-230.738234,-230.951429409594
100,-226.6557679,-230.7595844,-230.7160833,-230.7152507,-230.903984649759
100,-230.9013318,-230.760669,-230.7392814,-230.7385521,-232.580518221258
100,-232.4059312,-230.7560243,-230.7528815,-230.7521802,-231.168817574055
100,-231.3620306,-230.7543353,-230.7909799,-230.7902857,-230.589949991222
100,-230.7176988,-230.7546172,-230.761734,-230.7610834,-227.639743959425
100,-229.2705806,-230.7567059,-230.7871294,-230.7864844,-232.023744706167
100,-230.3980207,-230.7524301,-230.8034528,-230.8029067,-230.504824760006
100,-233.4546741,-230.7559136,-230.7637097,-230.7629492,-232.575366468722
100,-234.598367,-230.7535893,-230.7985848,-230.7981825,-227.536692347395
100,-230.641054,-230.7562488,-230.7386549,-230.7380901,-232.726179046186
100,-232.4934438,-230.7610718,-230.7592203,-230.7587307,-228.688969173377
