# dim ns_lnz ns_lnz_err
001 -2.35011e+00 5.62562e-02
001 -2.21012e+00 5.43668e-02
001 -2.32780e+00 5.60005e-02
001 -2.28384e+00 5.55227e-02
001 -2.33686e+00 5.62590e-02
001 -2.26920e+00 5.53412e-02
001 -2.33892e+00 5.63033e-02
001 -2.30245e+00 5.57576e-02
001 -2.30517e+00 5.56098e-02
001 -2.31054e+00 5.58624e-02
001 -2.21649e+00 5.46837e-02
001 -2.30165e+00 5.58155e-02
001 -2.38026e+00 5.68948e-02
001 -2.30416e+00 5.56681e-02
001 -2.27868e+00 5.53242e-02
001 -2.24576e+00 5.48832e-02
001 -2.27529e+00 5.54755e-02
001 -2.30614e+00 5.58488e-02
001 -2.28044e+00 5.53894e-02
001 -2.30944e+00 5.57580e-02
001 -2.31852e+00 5.60447e-02
001 -2.33065e+00 5.62244e-02
001 -2.39556e+00 5.69754e-02
001 -2.27167e+00 5.51555e-02
001 -2.27406e+00 5.53197e-02
001 -2.28928e+00 5.55622e-02
001 -2.29900e+00 5.56439e-02
001 -2.29046e+00 5.54186e-02
001 -2.32258e+00 5.58612e-02
001 -2.30150e+00 5.55834e-02
001 -2.31980e+00 5.58913e-02
001 -2.31076e+00 5.59618e-02
001 -2.27038e+00 5.51945e-02
001 -2.33426e+00 5.60929e-02
001 -2.32408e+00 5.59892e-02
001 -2.28505e+00 5.53431e-02
001 -2.38546e+00 5.68278e-02
001 -2.26996e+00 5.51583e-02
001 -2.41109e+00 5.70347e-02
001 -2.41239e+00 5.69801e-02
001 -2.25521e+00 5.52174e-02
001 -2.31575e+00 5.58534e-02
001 -2.35488e+00 5.64094e-02
001 -2.31787e+00 5.58758e-02
001 -2.31225e+00 5.57599e-02
001 -2.34544e+00 5.61365e-02
001 -2.35484e+00 5.65376e-02
001 -2.40210e+00 5.69337e-02
001 -2.28491e+00 5.53535e-02
001 -2.34420e+00 5.62630e-02
001 -2.22208e+00 5.45577e-02
001 -2.31128e+00 5.58162e-02
001 -2.35714e+00 5.61472e-02
001 -2.33449e+00 5.62309e-02
001 -2.27525e+00 5.53248e-02
001 -2.23424e+00 5.48115e-02
001 -2.30383e+00 5.59566e-02
001 -2.29329e+00 5.55681e-02
001 -2.30304e+00 5.56789e-02
001 -2.36026e+00 5.64989e-02
001 -2.29168e+00 5.54349e-02
001 -2.30256e+00 5.55350e-02
001 -2.22503e+00 5.46134e-02
001 -2.26061e+00 5.51020e-02
001 -2.30340e+00 5.57677e-02
001 -2.25439e+00 5.50933e-02
001 -2.32927e+00 5.59573e-02
001 -2.29529e+00 5.57614e-02
001 -2.38248e+00 5.68282e-02
001 -2.30510e+00 5.55988e-02
001 -2.30922e+00 5.56929e-02
001 -2.21481e+00 5.45373e-02
001 -2.30805e+00 5.59190e-02
001 -2.27692e+00 5.54660e-02
001 -2.36251e+00 5.65202e-02
001 -2.35522e+00 5.65174e-02
001 -2.35882e+00 5.61863e-02
001 -2.26058e+00 5.51380e-02
001 -2.26476e+00 5.51721e-02
001 -2.24645e+00 5.51668e-02
001 -2.28225e+00 5.52978e-02
001 -2.26139e+00 5.52237e-02
001 -2.28505e+00 5.56552e-02
001 -2.28274e+00 5.56293e-02
001 -2.29795e+00 5.54189e-02
001 -2.25494e+00 5.51206e-02
001 -2.26210e+00 5.52921e-02
001 -2.29786e+00 5.54874e-02
001 -2.30231e+00 5.56965e-02
001 -2.28113e+00 5.54565e-02
001 -2.33103e+00 5.61117e-02
001 -2.20514e+00 5.44355e-02
001 -2.33787e+00 5.61316e-02
001 -2.40468e+00 5.70506e-02
001 -2.28850e+00 5.55354e-02
001 -2.41979e+00 5.70955e-02
001 -2.30674e+00 5.56790e-02
001 -2.32835e+00 5.61742e-02
001 -2.32818e+00 5.58354e-02
001 -2.32304e+00 5.60678e-02
001 -2.37869e+00 5.66153e-02
001 -2.23121e+00 5.48833e-02
001 -2.27139e+00 5.54569e-02
001 -2.31867e+00 5.59183e-02
001 -2.33039e+00 5.59958e-02
001 -2.21252e+00 5.46170e-02
001 -2.31272e+00 5.58796e-02
001 -2.19242e+00 5.41669e-02
001 -2.33826e+00 5.61659e-02
001 -2.35194e+00 5.62626e-02
001 -2.28849e+00 5.54143e-02
001 -2.32006e+00 5.59901e-02
001 -2.29391e+00 5.56174e-02
001 -2.35719e+00 5.64202e-02
001 -2.29365e+00 5.56648e-02
001 -2.32285e+00 5.60543e-02
001 -2.20592e+00 5.42637e-02
001 -2.25655e+00 5.51466e-02
001 -2.36633e+00 5.63192e-02
001 -2.29629e+00 5.55739e-02
001 -2.31233e+00 5.59024e-02
001 -2.34058e+00 5.61343e-02
001 -2.27668e+00 5.54950e-02
001 -2.32776e+00 5.61264e-02
001 -2.31086e+00 5.58683e-02
001 -2.19297e+00 5.42140e-02
001 -2.26900e+00 5.52763e-02
001 -2.29299e+00 5.55343e-02
001 -2.30052e+00 5.55118e-02
001 -2.27803e+00 5.52060e-02
001 -2.27473e+00 5.50988e-02
001 -2.29760e+00 5.57879e-02
001 -2.29056e+00 5.53462e-02
001 -2.33131e+00 5.59016e-02
001 -2.29268e+00 5.56006e-02
001 -2.31427e+00 5.57713e-02
001 -2.29745e+00 5.57164e-02
001 -2.32106e+00 5.59226e-02
001 -2.30430e+00 5.57177e-02
001 -2.27533e+00 5.53943e-02
001 -2.31008e+00 5.56650e-02
001 -2.25136e+00 5.50390e-02
001 -2.32792e+00 5.61083e-02
001 -2.35177e+00 5.63006e-02
001 -2.42582e+00 5.72176e-02
001 -2.33189e+00 5.59392e-02
001 -2.31525e+00 5.59883e-02
001 -2.34577e+00 5.62400e-02
001 -2.31075e+00 5.57181e-02
001 -2.34829e+00 5.61991e-02
001 -2.32648e+00 5.59685e-02
001 -2.39048e+00 5.67306e-02
001 -2.29858e+00 5.56588e-02
001 -2.26881e+00 5.53666e-02
001 -2.32096e+00 5.59850e-02
001 -2.25963e+00 5.51000e-02
001 -2.33421e+00 5.60884e-02
001 -2.20205e+00 5.44509e-02
001 -2.36550e+00 5.64629e-02
001 -2.28388e+00 5.53682e-02
001 -2.25574e+00 5.49944e-02
001 -2.30887e+00 5.57603e-02
001 -2.28214e+00 5.53915e-02
001 -2.39921e+00 5.68878e-02
001 -2.32770e+00 5.59390e-02
001 -2.31266e+00 5.60022e-02
001 -2.30738e+00 5.57378e-02
001 -2.29474e+00 5.56593e-02
001 -2.30416e+00 5.58052e-02
001 -2.20626e+00 5.45637e-02
001 -2.24831e+00 5.51413e-02
001 -2.28299e+00 5.55082e-02
001 -2.22485e+00 5.48556e-02
001 -2.23413e+00 5.48031e-02
001 -2.20468e+00 5.42594e-02
001 -2.34790e+00 5.62557e-02
001 -2.29392e+00 5.55340e-02
001 -2.31282e+00 5.57669e-02
001 -2.30263e+00 5.58403e-02
001 -2.31397e+00 5.58744e-02
001 -2.27993e+00 5.52911e-02
001 -2.32564e+00 5.58773e-02
001 -2.31984e+00 5.60261e-02
001 -2.35383e+00 5.63135e-02
001 -2.32123e+00 5.59762e-02
001 -2.28284e+00 5.54095e-02
001 -2.24484e+00 5.50567e-02
001 -2.33060e+00 5.60749e-02
001 -2.41735e+00 5.72290e-02
001 -2.29370e+00 5.55764e-02
001 -2.28456e+00 5.53926e-02
001 -2.29473e+00 5.56175e-02
001 -2.40574e+00 5.68733e-02
001 -2.26819e+00 5.52009e-02
001 -2.30489e+00 5.56339e-02
001 -2.35079e+00 5.63172e-02
001 -2.22602e+00 5.48220e-02
001 -2.31254e+00 5.56650e-02
001 -2.28284e+00 5.53869e-02
001 -2.32392e+00 5.60097e-02
001 -2.29734e+00 5.53779e-02
001 -2.24972e+00 5.49185e-02
001 -2.29511e+00 5.54963e-02
001 -2.29634e+00 5.54591e-02
001 -2.29600e+00 5.57075e-02
001 -2.34037e+00 5.60418e-02
001 -2.34547e+00 5.63977e-02
001 -2.31338e+00 5.59463e-02
001 -2.27314e+00 5.53193e-02
001 -2.31501e+00 5.58353e-02
001 -2.27077e+00 5.50441e-02
001 -2.32663e+00 5.60336e-02
001 -2.32844e+00 5.60877e-02
001 -2.29604e+00 5.55712e-02
001 -2.29339e+00 5.55662e-02
001 -2.29860e+00 5.58021e-02
001 -2.30177e+00 5.55957e-02
001 -2.29354e+00 5.56818e-02
001 -2.22485e+00 5.47238e-02
001 -2.33512e+00 5.61208e-02
001 -2.27327e+00 5.52230e-02
001 -2.16821e+00 5.40146e-02
001 -2.35430e+00 5.63983e-02
001 -2.26759e+00 5.52390e-02
001 -2.39774e+00 5.69074e-02
001 -2.32609e+00 5.59776e-02
001 -2.19857e+00 5.42347e-02
001 -2.40682e+00 5.70082e-02
001 -2.37382e+00 5.67541e-02
001 -2.29152e+00 5.52381e-02
001 -2.26502e+00 5.52794e-02
001 -2.29965e+00 5.55506e-02
001 -2.30707e+00 5.58298e-02
001 -2.26260e+00 5.51813e-02
001 -2.25875e+00 5.50629e-02
001 -2.27811e+00 5.51733e-02
001 -2.29928e+00 5.58339e-02
001 -2.23245e+00 5.47694e-02
001 -2.43184e+00 5.73874e-02
001 -2.28071e+00 5.53166e-02
001 -2.31084e+00 5.58628e-02
001 -2.30557e+00 5.57945e-02
001 -2.33314e+00 5.59722e-02
001 -2.37364e+00 5.66476e-02
001 -2.25094e+00 5.49637e-02
001 -2.29081e+00 5.55514e-02
001 -2.32875e+00 5.60639e-02
001 -2.34868e+00 5.62948e-02
001 -2.27576e+00 5.53592e-02
001 -2.30578e+00 5.58112e-02
001 -2.35459e+00 5.63474e-02
001 -2.31736e+00 5.59732e-02
001 -2.36844e+00 5.65420e-02
001 -2.28830e+00 5.54061e-02
001 -2.32983e+00 5.60436e-02
001 -2.34507e+00 5.63683e-02
001 -2.25158e+00 5.51384e-02
001 -2.33912e+00 5.60701e-02
001 -2.28611e+00 5.54471e-02
001 -2.32333e+00 5.62702e-02
001 -2.30829e+00 5.58387e-02
001 -2.29024e+00 5.56827e-02
001 -2.25033e+00 5.47615e-02
001 -2.36878e+00 5.66364e-02
001 -2.39130e+00 5.66966e-02
001 -2.27353e+00 5.54517e-02
001 -2.29768e+00 5.57061e-02
001 -2.30190e+00 5.56384e-02
001 -2.24381e+00 5.50088e-02
001 -2.26557e+00 5.53286e-02
001 -2.23518e+00 5.48547e-02
001 -2.36082e+00 5.65354e-02
001 -2.32472e+00 5.58924e-02
001 -2.28544e+00 5.56259e-02
001 -2.27041e+00 5.52119e-02
001 -2.30172e+00 5.56614e-02
001 -2.25463e+00 5.50399e-02
001 -2.37138e+00 5.65776e-02
001 -2.33494e+00 5.60366e-02
001 -2.26146e+00 5.51152e-02
001 -2.28212e+00 5.52306e-02
001 -2.28871e+00 5.55174e-02
001 -2.27674e+00 5.52966e-02
001 -2.33112e+00 5.60307e-02
001 -2.25161e+00 5.50618e-02
001 -2.18001e+00 5.38790e-02
001 -2.24373e+00 5.50587e-02
001 -2.33449e+00 5.60439e-02
001 -2.33095e+00 5.58483e-02
001 -2.36575e+00 5.65604e-02
001 -2.30582e+00 5.57485e-02
001 -2.33586e+00 5.59406e-02
001 -2.26312e+00 5.52426e-02
001 -2.34515e+00 5.62446e-02
001 -2.31455e+00 5.60177e-02
001 -2.32089e+00 5.59405e-02
001 -2.27651e+00 5.52646e-02
001 -2.27559e+00 5.54878e-02
001 -2.35371e+00 5.62888e-02
001 -2.26010e+00 5.49970e-02
001 -2.24119e+00 5.50030e-02
001 -2.37043e+00 5.66377e-02
001 -2.25400e+00 5.51142e-02
001 -2.29175e+00 5.54812e-02
001 -2.35908e+00 5.64034e-02
001 -2.26338e+00 5.51079e-02
001 -2.27369e+00 5.53176e-02
001 -2.26395e+00 5.50934e-02
001 -2.30718e+00 5.58053e-02
001 -2.30697e+00 5.58371e-02
001 -2.23395e+00 5.48441e-02
001 -2.34445e+00 5.61884e-02
001 -2.38672e+00 5.66676e-02
001 -2.27123e+00 5.55439e-02
001 -2.30918e+00 5.57266e-02
001 -2.29914e+00 5.57304e-02
001 -2.24708e+00 5.51030e-02
001 -2.28344e+00 5.55066e-02
001 -2.30445e+00 5.56432e-02
001 -2.34470e+00 5.59689e-02
001 -2.26780e+00 5.50633e-02
001 -2.31098e+00 5.58237e-02
001 -2.30239e+00 5.55938e-02
001 -2.35100e+00 5.62183e-02
001 -2.27658e+00 5.56247e-02
001 -2.33421e+00 5.58866e-02
001 -2.33479e+00 5.59819e-02
001 -2.28158e+00 5.55102e-02
001 -2.30037e+00 5.56380e-02
001 -2.33795e+00 5.60715e-02
001 -2.31581e+00 5.58144e-02
001 -2.33053e+00 5.60665e-02
